Aircraft model,Engines,First flight
Comac ARJ21,jet (2),2008
Comac C919,jet (2),2017
Consolidated 16 Commodore,piston (2),1929
Consolidated B-24 Liberator,piston (4),1939
Consolidated C-87 Liberator Express,piston (4),1942
Consolidated Liberator,piston (4),1939
Consolidated PB4Y-2 Privateer,piston (4),1943
Consolidated PBY-5A Catalina,piston (2),1941
Convair CV-240 / T-29 / C-131A,piston (2),1947
Convair CV-340,piston (2),1951
Convair CV-340/440,piston (2),1951
Convair CV-440,piston (2),1955
Convair CV-580,turboprop (2),1954
Convair CV-600,turboprop (2),1965
Convair CV-640,turboprop (2),1965
Convair CV-880,jet (4),1959
Convair CV-990,jet (4),1961
Curtiss C-46,piston (2),1940
Curtiss Condor 18,piston (2),1929
Curtiss T-32 Condor,piston (2),1933
Dassault Falcon 10,jet (2),1970
Dassault Falcon 20,jet (2),1963
Dassault Falcon 2000,jet (3),1993
Dassault Falcon 50,jet (3),1976
Dassault Falcon 7X,jet (3),2005
Dassault Falcon 900,jet (3),1984
Dassault Mercure,jet (2),1971
de Havilland Canada DHC-3 (Turbine)Otter,piston (1),1951
de Havilland Canada DHC-3 Otter,piston (1),1951
de Havilland Canada DHC-3 Turbine Otter,turboprop (1),1984
de Havilland Canada DHC-4 Caribou,piston (2),1958
de Havilland Canada DHC-5 Buffalo,turboprop (2),1964
de Havilland Canada DHC-6 Twin Otter,turboprop (2),1965
de Havilland Canada DHC-7,turboprop (4),1975
de Havilland Canada DHC-8,turboprop (2),1983
de Havilland Canada DHC-8-100,turboprop (2),1983
de Havilland Canada DHC-8-300,turboprop (2),1987
de Havilland Canada DHC-8-400,turboprop (2),1998
de Havilland DH-106 Comet,jet (4),1949
de Havilland DH-114 Heron,piston (4),1950
de Havilland DH.66 Hercules,piston (3),1926
de Havilland DH.86 Express,piston (4),1934
de Havilland DH.91 Albatross,piston (4),1937
de Havilland DH.95 Flamingo,piston (2),1938
Dewoitine D.338,piston (3),1935
Diamond D-Jet,jet (2),2006
Dornier 228,turboprop (2),1981
Dornier 328,turboprop (2),1991
Dornier 328JET,jet (2),1998
Dornier Do R Superwal,piston (4),1926
Dornier Do-128-6 Turbo Skyservant,turboprop (2),1980
Dornier Do-28 (Turbo) Skyservant series,piston (2),1966
Dornier Do-28D Skyservant,piston (2),1966
Dornier Seastar,turboprop (2),1984
Douglas C-124 Globemaster,piston (4),1949
Douglas C-133 Cargomaster,turboprop (4),1956
Douglas C-74 Globemaster I,piston (4),1945
Douglas DC-1,piston (2),1933
Douglas DC-2,piston (2),1934
Douglas DC-3,piston (2),1935
Douglas DC-4,piston (4),1938
Douglas DC-5,piston (2),1939
Douglas DC-6,piston (4),1946
Douglas DC-7,piston (4),1953
Eclipse 500,jet (2),2002
Embraer E190-E2,jet (2),2016
Embraer EMB-110 Bandeirante,turboprop (2),1968
Embraer EMB-120 Brasilia,turboprop (2),1983
Embraer EMB-500 Phenom 100,jet (2),2007
Embraer EMB-505 Phenom 300,jet (2),2008
Embraer ERJ-135,jet (2),1998
Embraer ERJ-135/140/145,jet (2),1995
Embraer ERJ-140,jet (2),2000
Embraer ERJ-145,jet (2),1995
Embraer ERJ-170,jet (2),2002
Embraer ERJ-170/190,jet (2),2002
Embraer ERJ-190,jet (2),2004
Embraer KC-390,jet (2),2015
Embraer Legacy,jet (2),2012
Epic Elite,jet (2),2007
Epic Victory,jet (1),2007
Excel-Jet Sport-Jet,jet (1),2006
Fairchild C-119 Flying Boxcar,piston (2),1947
Fairchild C-123 Provider,piston (2),1949
Fairchild C-82 Packet,piston (2),1944
Fairchild F-27,turboprop (2),1958
Fairchild F-27/FH227,turboprop (2),1958
Fairchild FH-227,turboprop (2),1966
Farman F.180,piston (2),1927
Farman F.220,piston (4),1932
Farman F.60 Goliath,piston (2),1919
Felixstowe Fury,piston (5),1918
Fiat G.12,piston (3),1940
Fiat G.18,piston (2),1935
Fiat G.212,piston (3),1947
FMA IA 50 Guaraní II,turboprop (2),1963
Focke-Wulf FW.200 Condor,piston (4),1937
Fokker 100,jet (2),1986
Fokker 50,turboprop (2),1985
Fokker 70,jet (2),1993
Fokker F-27 Friendship,turboprop (2),1955
Fokker F-28 Fellowship,jet (2),1967
Fokker F.10,piston (3),19..
Fokker F.32,piston (4),1929
Fokker F.IX,piston (3),1929
Fokker F.VIII,piston (2),1927
Fokker F.XII,piston (3),1930
Fokker F.XVIII,piston (3),1932
Fokker F.XX,piston (3),1933
Fokker F.XXII,piston (4),1935
Fokker F.XXXVI,piston (4),1934
Ford AT-5 Tri-Motor,piston (3),1926
GAF Nomad,turboprop (2),1971
Grob SPn,jet (2),2005
Grumman C-2 Greyhound,turboprop (2),1964
Grumman G-111 Albatross,piston (2),1946
Grumman G-159 Gulfstream I,turboprop (2),1958
Grumman G-73 (Turbo) Mallard,piston (2),1946
Grumman G-73 Mallard,piston (2),1946
Grumman G-73T Turbo Mallard,turboprop (2),1969
Gulfstream Aerospace G-1159 Gulfstream,jet (2),1966
Gulfstream G200,jet (2),1997
Gulfstream G280,jet (2),2009
Gulfstream G650,jet (2),2009
Handley Page Hastings,piston (4),1946
Handley Page HP-137 Jetstream,turboprop (2),1967
Handley Page HP.42,piston (4),1930
Handley Page HP.68/81/82 Hermes,piston (4),1945
Handley Page HPR.7 Herald,turboprop (2),1955
Handley Page Type O,piston (2),1915
Handley Page Type W,piston (3),1919
Hawker 1000,jet (2),1990
Hawker 4000 Horizon,jet (2),2005
Hawker Siddeley HS-121 Trident,jet (3),1962
"Hawker Siddeley HS-125 Srs. 1, 2, 3, 400",jet (2),1962
Hawker Siddeley HS-748,turboprop (2),1960
Hawker Siddeley HS-801 Nimrod,jet (4),1967
Hindustan Aeronautics Ltd. HAL-748,turboprop (2),1961
Honda HA-420 HondaJet,jet (2),2003
Howard 250,piston (2),1961
Howard 350,piston (2),1962
Howard 500,piston (2),1959
Hurel-Dubois HD.31,piston (2),1953
IAI 1124 Westwind,jet (2),1963
IAI 1125 Astra,jet (2),1984
IAI Arava,turboprop (2),1969
Ilyushin Il-112,turboprop (2),
Ilyushin Il-114,turboprop (2),1990
Ilyushin Il-12,piston (2),1945
Ilyushin Il-14,piston (2),1950
Ilyushin Il-18,turboprop (4),1957
Ilyushin Il-38,turboprop (4),1961
Ilyushin Il-62,jet (4),1963
Ilyushin Il-76,jet (4),1971
Ilyushin Il-86,jet (4),1976
Ilyushin Il-96,jet (4),1988
Irkut MC-21,jet (2),2017
Junkers F./G.24 series,piston (3),1924
Junkers F.24,piston (1),1928
Junkers G.24,piston (3),1924
Junkers G.31,piston (3),1926
Junkers G.38,piston (4),1929
Junkers Ju-252,piston (3),1942
Junkers Ju-352 Herkules,piston (3),1943
Junkers Ju-52/3m,piston (3),1932
Junkers Ju-90,piston (4),1937
Kalinin K-7,piston (7),1933
Kawasaki C-1,jet (2),1970
Kawasaki C-2,jet (2),2010
Kawasaki Ki-56,piston (2),1940
Kawasaki P-1,jet (4),2007
