Airport name,IATA code,ICAO code
"San Juan Airport, SJ",UAQ,SANU
"San Luis Airport, SL",LUQ,SAOU
"Santa Fé-Sauce Viejo Airport, SF",SFN,SAAV
"Santa Isabel - Córdoba-Escuela De Aviacion Militar Airport, CD",,SACE
"Santa Isabel Airport, PA",,
"Santa Rosa Airport, LP",RSA,SAZR
"Santiago del Estero Airport, SE",SDE,SANE
"Sierra Grande Airport, RN",SGV,SAVS
"Tandil Airport, BA",TDL,SAZT
"Trelew Airport, CB",REL,SAVT
"Trelew-Almirante Zar Airport, CB",REL,SAVT
"Trelew-Almirante Zar NAS, CB",REL,SAVT
"Tucumán Airport, TU",,
"Tucumán Airport, TU",TUC,SANT
"Tucumán-Teniente General Benjamín Matienzo Airport, TU",TUC,SANT
"Ushuaia Airport, TF",USH,SAWO
"Ushuaia-Comandante Berisso Airport, TF",EAU,SAWO
"Villa Gesell Airport, BA",VLG,SAZV
"Villa Harding Green, BA",,
"Villa Reynolds Airport, SL",,SAOR
Goris Airport,,
Gyumri-Leninakan Airport,LWN,UDSG
Kapan Airport,,
Leninakan Airport,LWN,UDSG
Stepanavan Airport,,UDLS
Yerevan Airport,EVN,UDYZ
Yerevan-Erebuni Airport,,UDYE
Yerevan-Zvartnots Airport,EVN,UDYZ
Aruba-Reina Beatrix Airport,AUA,TNCA
"Adelaide Airport, SA",ADL,YPAD
"Adelaide-Parafield Airport, SA",,YPPF
"Alice Springs Airport, NT",ASP,YBAS
"Amberley RAAF Station, QLD",,YAMB
"Armidale Airport, NSW",ARM,YARM
"Aurukun Mission Airport, QLD",AUU,YAUR
"Avalon Airport, VIC",AVV,YMAV
"Ballieston East, VIC",,
"Bamaga Airport, QLD",ABM,YBAM
"Bankstown Airport, NSW",BWU,YSBK
"Barcaldine Airport, QLD",BCI,YBAR
"Baryulgil Airstrip, NSW",,YBYL
"Batchelor Air Base, NT",,YBCR
"Bathurst Harbour Airport, TAS",,YBHB
"Bathurst-Raglan Airport, NSW",BHS,YBTH
"Bourke Airport, NSW",BRK,YBKE
"Bowen Airport, QLD",ZBO,YBWN
"Bowen Seaplane Base, QLD",,
"Brewarrina Airport, NSW",BWQ,YBRW
"Brisbane International Airport, QLD",BNE,YBBN
"Brisbane-Archerfield Airport, QLD",ACF,YBAF
"Brisbane-Eagle Farm Air Base, QLD",,
