Airport name,IATA code,ICAO code
Tembo Airstrip,,
Tshikapa Airport,TSH,FZUK
Uvira,,
Walikale Airstrip,,
Bahía Drake (Drake Bay) Airport,DRK,MDRK
Fortuna Airport,FON,MRAN
Nicoya-Guanacaste Airport,NCT,MRNC
Palmar Sur Airport,PMZ,MRPM
Parrita Airport,,MRPR
Paso Canoas Airport,,MRPC
Puerto Jimenez Airport,PJM,MRPJ
Puerto Limón Airport,LIO,MRLM
Punta Islita Airport,PBP,MRIA
Quepos Airport,XQP,MRQP
Samara Airport,,MRSR
San Isidro de El General Airport,,MRSI
San José (unknown airport),,
San José-Juan Santamaria International Airport,SJO,MROC
San José-La Sabana Airport,,
San José-Tobias Bolanos International Airport,SYQ,MRPV
Tamarindo Airport,TNO,MRTM
Tortuquero Airport,TTQ,MRAO
Upala Airport,UPL,MRPP
Abidjan Airport,,
Abidjan-Felix Houphouet Boigny Airport,ABJ,DIAP
Bouaké Airport,BYK,DIBK
Man Airport,MJC,DIMN
San-Pédro Airport,SPY,DISP
Tabou Airport,TXU,DITB
Touba Airport,TOZ,DITM
Yamoussoukro Airport,ASK,DIYO
Brac Airport,BWK,LDSB
Dubrovnik Airport,DBV,LDDU
Pula Airport,PUY,LDPL
Rijeka Airport,RJK,LDRI
Split Airport,SPU,LDSP
Zadar Airport,ZAD,LDZD
Zagreb-Pleso Airport,ZAG,LDZA
Zagreb/Lucko Airport,,LDZL
Antilla Airport,,MUAT
Baracoa Airport,BCA,MUBA
Camagüey Air Base,CMW,MUCM
Camagüey-Ign Agramonte International Airport,CMW,MUCM
Cayo Coco/Jardines del Rey Airport,CCC,MUCC
Cayo Mambi Airport,,
Cienfuegos Airport,CFG,MUCF
Guantánamo NAS,NBW,MUGM
Havana-Ciudad Libertad Airport,,MULB
Havana-José Martí International Airport,HAV,MUHA
Havana-Rancho Boyeros Airport,HAV,MUHA
Holguín-Frank Pais Airport,HOG,MUHG
Isla De La Juventud-Siguanea Airport,SZJ,MUSN
Manzanillo-Sierra Maestra Airport,MZO,MUMZ
Moa-Orestes Acosta Airport,MOA,MUMO
Nueva Gerona Airport,GER,MUNG
Nueva Gerona-Rafael Cabrera Airport,GER,MUNG
Pinar del Rio Airport,QPD,MUPR
Playa Baracoa Airport,UPB,MUPB
Santa Clara Airport,SNU,MUSC
Santiago-Antonio Maceo Airport,SCU,MUCU
Varadero Airport,VRA,MUVR
Varadero-Juan Gualberto Gomez Airport,VRA,MUVR
Akrotiri RAF Station,AKT,LCRA
Larnaca Airport,LCA,LCLK
Nicosia Airport,NIC,LCNC
Brno Turany Airport,BRQ,LKTB
Cakovice,,
Cáslav Air Base,,LKCV
Ceske Budejovice Air Base,,LKCS
Hradec Kralove Air Base,,LKHK
Hranice Airport,,LKHN
Karlovy Vary Airport,KLV,LKKV
Kbely Air Base,,LKKB
Mariánské Lázne Airport,MKA,LKMR
Ostrava-Hrabuvka Airport,,
Ostrava-Leo Janácek Airport,OSR,LKMT
Ostrava-Monov International Airport,OSR,LKMT
Pardubice Airport,PED,LKPD
Praha-Ruzyne International Airport,PRG,LKPR
Praha-Václav Havel Airport,PRG,LKPR
Uherské Hradite-Kunovice Airport,UHE,LKKU
Vodochody-Klecany Airport,,LKVO
Zatec Air Base,,LKZC
Aalborg Air Base,AAL,EKYT
Aalborg Airport,AAL,EKYT
Aarhus Airport,AAR,EKAH
Anholt Airfield,,EKAT
Billund Airport,BLL,EKBI
Bornholm-Rønne Airport,RNN,EKRN
Faroe Islands-Vagar Airport,FAE,EKVG
København-Kastrup Airport,CPH,EKCH
Odense-Beldringe Airport,ODE,EKOD
Roskilde Airport,RKE,EKRK
Stauning Airport,STA,EKVJ
Sønderborg Airport,SGD,EKSB
Thisted Airport,TED,EKTS
Værløse Air Base,,EKVL
Djibouti Airport,JIB,HDAM
Djibouti-Ambouli Airport,JIB,HDAM
Obock Airport,OBC,HDOB
Tadjoura Airport,TDJ,HDTJ
Dominica Douglas-Charles Airport,DOM,TDPD
Dominica-Cane Field Airport,DCF,TDCF
Dominica-Melville Hall Airport,DOM,TDPD
Barahona-Maria Montez International Airport,BRX,MDBH
Ciudad Trujillo-General Andrews International Airport,SDQ,MDSD
Dajabon Airport,,MDDJ
El Portillo/Samaná-Arroyo Barril International Airport,EPS,MDAB
Higuero/La Isabela-Dr. Joaquín Balaguer Airport,JBQ,MDJB
La Romana-Casa de Campo International Airport,LRM,MDLR
Puerto Plata-Gregorio Luperón International Airport,POP,MDPP
Puerto Plata-La Union International Airport,POP,MDPP
Punta Cana International Airport,PUJ,MDPC
San Isidoro Air Base,,MDSI
San Pedro de Macorís Seaplane Base,,
Santiago de los Caballeros-Cibao International Airport,STI,MDST
Santo Domingo (unknown airport),,
Santo Domingo-Herrera International Airport,HEX,MDHE
Santo Domingo-Las Américas International Airport,SDQ,MDSD
Santo Domingo-Las Américas José Francisco Peña Gómez Int'l Airport,SDQ,MDSD
Baucau-English Madeira Airport,BCH,WPEC
Ambato-Chachoan Airport,ATF,SEAM
Ayuy Airstrip,,
Coca Airport,OCC,SECO
Cuenca Airport,CUE,SECU
Cuenca-Mariscal Lamar International Airport,CUE,SECU
Esmeraldas Airport,ESM,SEES
Guayaquil-José Joaquín de Olmedo International Airport,GYE,SEGU
Guayaquil-Simon Bolivar Airport,GYE,SEGU
Lago Agrio Airport,LGQ,SELA
Latacunga-Cotopaxi International Airport,LTX,SELT
Loja Airport,LOH,SELO
Macara Airport,MRR,SEMA
Macas Airport,XMS,SEMC
Machala Airport,MCH,SEMH
Manta Airport,MEC,SEMT
Palma Roja Airfield,,
Pastaza Airport,PTZ,SESM
Pastaza-Shell Mera Airport,PTZ,SESM
Putumayo Airport,PYO,SEPT
Quevedo Airport,,SEQE
Quito-Cotocollao Airport,,
Quito-Mariscal Sucre Airport,UIO,SEQU
"San Cristobal Airport, Galapagos",SCY,SEST
San Pablo-Coaselsa Airstrip,,
Taisha Airport,TSC,SETH
Taura Airport,,SETA
Tena Airport,,SETE
Tiputini Airport,TPN,SETI
Tulcán Airport,TUA,SETU
Zumba Airport,,SEZP
Al Alamain Airport,DBB,HEAL
Alexandria Airport,ALY,HEAX
Alexandria Seaplane Base,,
Alexandria-Borg El Arab Airport,HBE,HEBA
As Sallum Airport,,
Aswan Airport,ASW,HESN
Bilbeis RAF Station,,
Cairo (unknown airport),,
Cairo International Airport,CAI,HECA
Cairo West Air Base,CWE,HECW
Cairo-Almaza Air Base,,HEAZ
Cairo-Almaza Airport,,HEAZ
Cairo-Farouk Airport,CAI,HECA
Cairo-Payne Field Air Base,CAI,HECA
Cairo/Rod-el-Farag Seaplane Base,,
Deversoir RAF Station,,
El Arish Airport,AAC,HEAR
El-Gora Airport,EGH,HEGR
Fayid RAF Station,,
Heliopolis RAF Station,,HEAZ
Hurghada (unknown airport),,
Hurghada Airport,HRG,HEGN
Kabrit RAF Station,,
Kasfareet RAF Station,,
Luxor Airport,LXR,HELX
Mersa Matruh Airport,MUH,HEMM
Santa Katarina-Mount Sinai Airport,SKV,HESC
Sharm el Sheikh International Airport,SSH,HESH
Sharm el Sheikh-Ophira Airport,SSH,HESH
Siwa Airport,SEW,
Um Barka Oil Field Airstrip,,
Chilanga-Los Comandos Airport,,MSLD
El Jaguey,,
San Salvador-Comalapa International Airport,SAL,MSLP
San Salvador/Ilopango International Airport,SAL,MSSS
Bata Airport,BSG,FGBT
Fernando Po Airport,SSG,FGSL
Malabo-Santa Isabel Airport,SSG,FGSL
Asmara International Airport,ASM,HAAY
Barentu Airport,,HHBA
Kärdla Airport,KDL,EEKA
Pärnu Airport,EPU,EEPU
Ruhnu Airport,,EERU
Tallinn-Lennart Meri Airport,TLL,EETN
Tallinn-Ülemiste Airport,TLL,EETN
Tapa Airport,,EETA
Manzini International Airport,MTS,FDMS
Manzini-Matsapha International Airport,MTS,FDMS
Addis Ababa-Bole Airport,ADD,HAAB
Addis Ababa-Haile Selassie I International Airport,ADD,HAAB
Addis Ababa-Lideta Airport,,HAAL
Axum Airport,AXU,HAAX
Bahar Dar Airport,BJR,HABD
Beica Airport,BEI,HABE
Bishoftu-Harar Meda Air Base,QHR,HAHM
Bulchi Airport,BCY,HABU
Debra Marcos Airport,DBM,HADM
Degahbur Airport,DGC,HADB
Dembidollo Airport,DEM,HADD
Dessie-Combolcha Airport,DSE,HADC
Dire Dawa-Aba Tenna D Yilma Airport,DIR,HADR
Funyido refugee camp,,
Gambela Airport,GMB,HAGM
Goba Airport,GOB,HAGB
Gondar Airport,GDQ,HAGN
Gore Airport,GOR,HAGR
Jimma Airport,JIM,HAJM
Kabri Dar Airport,ABK,HADK
Lalibela Airport,LLI,HALL
Makale Airport,MQX,HAMK
Mota Airport,OTA,HAMO
Oborso,,
Soddu Airport,SXU,HASD
Tippi Airport,TIE,HATP
Beaver Island Airstrip,,
Brookfield Farm,,
Weddell Island Airstrip,,
West Point Island,,
Bua-Dama Airport,BVF,NFNU
Lauthala Bay SPB,,NFLB
Malololailai Airport,PTF,NFFO
Nadi International Airport,NAN,NFFN
Nandi AAF,NAN,NFFN
Ngau Island Airport,NGI,NFNG
Savusavu Airport,SVU,NFNS
Suva-Nausori Airport,SUV,NFSU
Vanuabalavu Airport,VBV,NFVB
Helsinki-Malmi Airport,HEM,EFHF
Helsinki-Vantaa Airport,HEL,EFHK
Hyvinkaa Airport,HYV,EFHV
Jyväskylä Airport,JYV,EFJY
Kajaani Airport,KAJ,EFKI
Kittilä Airport,KTT,EFKT
Kokkola/Pietarsaari-Kruunupyy Airport,KOK,EFKK
Kuopio Airport,KUO,EFKU
Kuusamo Airport,KAO,EFKS
Mariehamn Airport,MHQ,EFMA
Oulu Airport,OUL,EFOU
Rovaniemi Airport,RVN,EFRO
Savonlinna Airport,SVL,EFSA
Seinäjoki-Ilmajoki Airport,SJY,EFSI
Turku Airport,TKU,EFTU
Vaasa Airport,VAA,EFVA
Agen-La Garenne Airport,AGF,LFBA
Ajaccio Harbour Seaplane Base,,
Ajaccio-Campo dell'Oro Airport,AJA,LFKJ
Ajaccio-Napoleon Bonaparte Airport,AJA,LFKJ
Albert/Bray Airport,BYF,LFAQ
Amblie Advanced Landing Ground B-14,,
Amiens-Advanced Landing Ground B-48,QAM,LFAY
Angers-Arville Airport,ANE,LFRA
Annemasse Airfield,QNJ,LFLI
Arcachon/La Teste-de-Buch Airfield,XAC,LFCH
Aubenas-Vals-Lanas Airfield,OBS,LFHO
Aurillac Airport,AUR,LFLW
Avignon-Caum Airport,AVN,LFMV
Basel/Mulhouse Airport,BSL,LFSB
Basel/Mulhouse-EuroAirport,BSL,LFSB
Basel/Mulhouse/Freiburg EuroAirport,BSL,LFSB
Bastia Airport,BIA,LFKB
Bastia-Poretta Airport,BIA,LFKB
Beauvais-Tillé Advanced Landing Ground A-61,BVA,LFOB
Beauvais-Tillé Airport,BVA,LFOB
Berck-sur-Mer Airfield,,LFAM
Besançon-La Vèze Airport,QBQ,LFQM
Biarritz Parme Airport,BIQ,LFBZ
Biscarrosse-Hourtiquets Seaplane Base,,
Biscarrosse/Parentis SPB,,LFBS
Bolleville-Advanced Landing Ground A-25C,,
Bordeaux (unknown airport),,
Bordeaux-Mérignac Airport,BOD,LFBD
Bourges Airport,BOU,LFLD
Brest-Guipavas Airport,BES,LFRB
Brétigny-sur-Orge Advanced Landing Ground A-48,,LFPY
Brétigny-sur-Orge Airport,,LFPY
Caen-Carpiquet Airport,CFR,LFRK
Calvi-Sainte Catherine Airport,CLY,LFKC
Cambrai-Niergnies Advanced Landing Ground A-74,,
Cannes-Mandelieu Airport,CEQ,LFMD
Chailley Airport,,LFJM
Chambéry Airport,CMF,LFLB
Châteaudun Airport,,LFOC
Châteaudun-Advanced Landing Ground A-39,,LFOC
Châteauroux Airport,CHR,LFLX
Châteauroux-Déols Air Base,CHR,LFLX
Cherbourg-Maupertus Airport,CER,LFRC
Clermont-Ferrand-Aulnat Airport,CFE,LFLC
Colleville-sur-Mer Advanced Landing Ground A-22,,
Colmar-Houssen Airport,CMR,LFGA
Compiègne/Margny Advanced Landing Ground Y-35,XCP,LFAD
Coulommiers-Voisins Airfield,,LFPK
Coulommiers/Voisins Advanced Landing Ground A-58,,LFPK
Creil Advanced Landing Ground A-81,CSF,LFPC
Deauville-Saint Gatien Airport,DOL,LFRG
Denain/Prouvy Advanced Landing Ground A-83,,LFAV
Dinard-Pleurtuit Airport,DNR,LFRD
Dole-Jura Airport,DLE,LFGJ
Doncourt-lès-Conflans Advanced Landing Ground A-94,,
Dreux-Vernouillet Airfield,XDR,LFON
Dugny-Le Bourget Air Base (BA 104),LBG,LFPB
Épinal-Mirecourt Airport,EPL,LFSG
Evreux Airport,EVX,LFOE
Figari-Sud Corse Airfield,FSC,LFKF
Ghisonaccia-Alzitone Airfield,,LFKG
Grenoble-Saint Geoirs Airport,GNB,LFLS
Grostenquin RCAF Station,,
Hyères Naval Air Station,TLN,LFTH
Istres-Le Tubé Air Base,,LFMI
Istres-Le Tubé Airport,,LFMI
Lannion-Servel Airport,LAI,LFRO
Laon-Couvron Air Base (Advanced Landing Ground A-70),,
Le Castellet Airport,CTT,LFMQ
Le Havre Advanced Landing Ground Y-30,LEH,LFOH
Le Havre Seaplane Base,,
Le Mans-Advanced Landing Ground A-35,,
Le Mans-Arnage Airport,LME,LFRM
Le Puy-Loudes Airport,LPY,LFHP
Le Touquet Airport,LTQ,LFAT
Lézignan-Corbières Airfield,,LFMZ
Lille-Lesquin Airport,LIL,LFQQ
Limoges-Bellegarde Airport,LIG,LFBL
Lognes-Emerainville Airfield,,LFPL
Lonrai Advanced Landing Ground (ALG) A-45,,
Lorient-Lann Bihoué Airport,LRT,LFRH
Lorient-Lann Bihoué Naval Aviation Base,LRT,LFRH
Lourdes-Tarbes Ossun Lourdes Airport,LDE,LFBT
Luxeuil-St-Sauveur Airport,,LFSX
Lyon (unknown airport),,
Lyon Saint-Exupéry Airfield,LYS,LFLL
Lyon Satolas Airfield,LYS,LFLL
Lyon-Bron Airport,LYN,LFLY
Marignane-Berre Seaplane Base,,LFTB
Marseille-Marignane Airport,MRS,LFML
Marseille-Provence Airport,MRS,LFML
Marville RCAF Station,,
Melun/Villaroche Airport,,LFPM
Merville Airport,HZB,LFQT
Metz-Advanced Landing Ground Y-34,MZM,LFSF
Mont-De-Marsan Airport,,LFBM
Montluçon-Guéret (Lepaud) Airport,MCU,LFBK
Montpellier-Frejorgues Airport,MPL,LFMT
Moulins-Avermes Airport,,LFHB
Mourmelon Airport,,LFXM
Nancy-Essey Airport,ENC,LFSN
Nantes Atlantique Airport,NTE,LFRS
Nantes Château-Bougon Airport,NTE,LFRS
Nice Advanced Landing Ground Y-52,NCE,LFMN
Nice Airport,NCE,LFMN
Nice-Côte d'Azur Airport,NCE,LFMN
Nice-le Var Airport,NCE,LFMN
Orange-Caritat Air Base (BA 115),XOG,LFMO
Orléans Airport,ORE,LFOJ
Orléans-Bricy Air Base (BA 123),ORE,LFOJ
Orléans/Bricy Advanced Landing Ground A-50,ORE,LFOJ
Oyonnax-Arbent Airfield,,LFLK
Paris (unknown airport),,
Paris-Charles de Gaulle Airport,CDG,LFPG
Paris-La Defense Heliport,JPU,
Paris-Le Bourget Airport,LBG,LFPB
Paris-Orly Airport,ORY,LFPO
Pau-Uzein Airport,PUF,LFBP
Perpignan Airport,PGF,LFMP
Pithiviers Airfield,,LFFP
Poitiers-Biard Airport,PIS,LFBI
Poix-Advanced Landing Ground B-44,,
Prosnes Advanced Landing Ground A-79,,
Querqueville Advanced Landing Ground A-23,,
Reims Advanced Landing Ground A-62,RHE,LFSR
Reims Airport,RHE,LFSR
Reims-Champagne Air Base (BA 112),RHE,LFSR
Rennes-St Jacques Airport,RNS,LFRN
Rodez Airport,RDZ,LFCR
Rosières en Haye Advanced Landing Ground A-98,,LFSL
Rouen-Vallée de Seine Airport,URO,LFOP
Saint Brieuc-Tremuson Airport,SBK,LFRT
Saint Étienne-Bouthéon Airport,EBU,LFMH
Saint Marceau Advanced Landing Ground A-43,,
Saint Tropez-La Môle Airport,LTT,LFTZ
Saint-André-de-l'Eure Airfield,,LFFD
Saint-Dizier Advanced Landing Ground A-64,,LFSI
Saint-Inglevert Airfield,,LFIS
Saint-Yan-Charolais Bourgogne Sud Airport,SYT,LFLN
Strasbourg (unknown airport),,
Strasbourg-Entzheim Airport,SXB,LFST
Toulon-Hyères Airport,TLN,LFTH
Toulon-St Mandrier NAS,,LFTR
Toulouse (unknown airport),,
Toulouse-Blagnac Airport,TLS,LFBO
Toulouse-Francazal Air Base (BA 101),,LFBF
Toulouse-Montaudran Airport,XYT,LFIO
Tours-St Symphorien Airport,TUF,LFOT
Toussus-le-Noble Airport,TNF,LFPN
Troyes-Barberey Airport,,LFQB
Valence-Chabeuil Airport,VAF,LFLU
Valenciennes/Denain Airport,XVS,LFAV
Vatry/Châlons-en-Champagne International Airport,XCR,LFOK
Vernouillet-Advanced Landing Ground A-41,XDR,LFON
Vichy-Charmeil Airport,VHY,LFLV
Villacoublay Advanced Landing Ground A-42,,LFPV
Villacoublay Air Base (BA 107),VIY,LFPV
Villacoublay/Vélizy Airport,VIY,LFPV
Villeneuve-Advanced Landing Ground A-63,,
Cayenne-Rochambeau Airport,CAY,SOCA
Hao Island Airport,HOI,NTTO
Hiva Oa Airport,HIX,NTMN
Moorea-Temae Airport,MOZ,NTTM
Nuku Hiva Airport,NHV,NTMD
Papeete-Faaa Airport,PPT,NTAA
Raiatea Airport,RFP,NTTR
Marie Galante-Les Bases Airport,GBJ,TFFM
Pointe-à-Pitre-Le Raizet Airport,PTP,TFFR
Saint-Barthélémy Airport,SBH,TFFJ
Fort de France Hydrobase,,
Fort de France-Lamentin Air Base (BA 365),FDF,TFFF
Fort de France-Lamentin Airport,FDF,TFFF
Lifou Airport,LIF,NWWL
Nouméa-La Tontouta International Airport,NOU,NWWW
Nouméa-Magenta Airport,GEA,NWWM
Nouméa-Tontouta Airport,NOU,NWWW
Touho Airport,TOU,NWWU
"Saint-Denis-Gillot Airport, Réunion",RUN,FMEE
Saint Pierre Airport,FSP,LFVP
Bitam Airport,BMM,FOOB
Booue Airport,BGB,FOGB
Franceville/Mvengue Airport,MVB,FOON
Libreville Airport,LBV,FOOL
Medouneu Airport,MDV,
Moanda Airport,MFF,FOOD
Oyem Airport,OYE,FOGO
Port Gentil Airport,POG,FOOG
Tchibanga Airport,TCH,FOOT
Banjul-Yundum International Airport,BJL,GBYD
Bathurst-Jeswang Airport,,
Bathurst-Yundum Airport,BJL,GBYD
Batumi-Chorokh Airport,BUS,UGSB
Kutaisi Airport,KUT,UGKO
Mestia Queen Tamar Airport,,UGMS
Poti Airport,,UGSP
Sandar-Marneuli Air Base,,
Sukhumi Airport,SUI,UGSS
Sukhumi-Babusheri Airport,SUI,UGSS
Tbilisi Airport,TBS,UGGG
Tbilisi-Novo Alexeyevka Airport,TBS,UGGG
Ahlhorn Air Base,,ETNA
Ahlhorn Air Base,,EDNA
Aichach,,
Allendorf/Eder Airport,,EDFQ
Bayreuth Advanced Landing Ground ALG R-26,BYU,EDQD
Berlin (airport unknown),,
Berlin (unknown airport),,
Berlin-R.A.F. Gatow Airport,GWW,EDBG
Berlin-Schönefeld Airport,SXF,EDDB
Berlin-Schönwalde Air Base,,
Berlin-Tegel Airport,TXL,EDDT
Berlin-Tempelhof Airport,THF,EDBB
Berlin-Tempelhof Airport,THF,EDDI
Bienenfarm Airfield,,EDOI
Bitburg Air Base,BBJ,EDRB
Brandis-Waldpolenz Airport,,EDBN
Braunschweig Airport,BWE,EDVE
Braunschweig-Wolfsburg Airport,BWE,EDVE
Bremen Air Base,,ETFB
Bremen Airport,BRE,EDDW
Bremerhaven Airport,BRV,EDWB
Büchel Air Base,,ETSB
Celle RAF Station,ZCN,ETHC
Dessau Airfield,,EDAD
Donaueschingen-Villingen Airport,ZQL,EDTD
Dortmund Airport,DTM,EDLW
Dresden Airport,DRS,EDDC
Düsseldorf Airport,DUS,EDDL
Düsseldorf International Airport,DUS,EDDL
Egelsbach Airfield,QEF,EDFE
Eisfeld Advanced Landing Ground R-8,,
Emden Airport,EME,EDWE
Erding Air Base,,ETSE
Erfurt Airport,ERF,EDDE
Ergolding Advanced Landing Ground R-73,,
Essen-Mülheim Airfield,ESS,EDLE
Faßberg Air Base,,ETHS
Finkenwerder Airport,XFW,EDHI
Frankfurt International Airport,FRA,EDDF
Frankfurt Rhein-Main Airport,FRA,EDDF
Frankfurt-Hahn Airport,HHN,EDFH
Frankfurt-Rhein-Main AFB,FRF,EDAF
Frankfurt/Eschborn Advanced Landing Ground Y-74,,
Freiburg Im Breisgau Airfield,,EDTF
Friedrichshafen Airport,FDH,EDNY
Fritzlar Advanced Landing Ground Y-86,FRZ,ETHF
Fürstenfeldbruck Air Base,,ETGV
Fürth Advanced Landing Ground R-28,,
Geilenkirchen Airport,GKE,ETNG
Gelnhausen Advanced Landing Ground Y-67,,EDFG
Gera-Leumnitz Airfield,,EDAJ
Giebelstadt AAF,GHF,ETEU
Giessen Advanced Landing Ground Y-84,,
Gotha Nord Advanced Landing Ground R-4,,
Gransee Airfield,,EDUG
Gütersloh RAF Station,GUT,ETUO
Hamburg-Fuhlsbüttel Airport,HAM,EDDH
Hannover Airport,HAJ,EDDV
Hannover-Langenhagen Airport,HAJ,EDDV
Harle Airfield,,EDXP
Heidelberg Airport,HDB,ETIE
Helgoland Airfield,HGL,EDXH
Helmstedt Advanced Landing Ground R-39,,
Heringsdorf Airport,HDF,EDAH
Herzogenaurach Airfield,,EDQH
Hildesheim Advanced Landing Ground R-16,,EDVM
Hohn Air Base,,ETNH
Husum Schwesing Air Base,QHU,EDXK
Illertissen Airfield,,EDMI
Ingolstadt/Manching Airport,IGS,ETSI
Kamenz Airfield,,EDCM
Karlsruhe/Baden Baden-Söllingen Airport,FKB,EDSB
Kassel-Calden Airport,KSF,EDVK
Kaufbeuren Air Base,,ETSK
Kiel-Holtenau Airport,KEL,EDHK
Koblenz-Winningen Airfield,,EDRK
Köln-Butzweilerhof Airfield,,
Köln-Wahnheide Air Base,CGN,EDDK
Köln/Bonn Airport,CGN,EDDK
Köln/Bonn-Konrad Adenauer Airport,CGN,EDDK
Köthen Airfield,KOQ,EDCK
Landsberg/Lech Air Base,,ETSA
Langeoog Airfield,LGO,EDWL
Lechfeld Air Base,,ETSL
Leipzig Airport,LEJ,EDDP
Lübeck-Blankensee Airport,LBC,EDHL
Lübeck-Blankensee RAF Station,LBC,EDHL
Lübeck-Travemünde Airfield,,
Mannheim Advanced Landing Ground Y-89,MHG,EDFM
Mannheim Airport,MHG,EDFM
Mindelheim-Mattsies Airfield,,EDMN
Mühlhausen Merseburg Airfield,,EDAM
München-Augsburg - Mühlhausen Airport,AGB,EDMA
München-Franz Josef Strauss Airport,MUC,EDDM
München-Riem Airport,MUC,EDDM
Münich-Oberwiesenfeld Airport,,
Neubiberg Airport,,EDPN
Neuhardenberg-Marxwalde Air Base,,
Neumünster Airfield,EUM,EDHN
Nürnberg Airport,NUE,EDDN
Nürnberg-Marienberg Airport,,
Oberpfaffenhofen Airport,OBF,EDMO
Offenburg Airfield,,EDTO
Paderborn Airport,PAD,EDLP
Ramstein AFB,RMS,ETAR
Ramstein Airport,RMS,ETAR
Rechlin Airfield,REB,EDAX
Reichenbach Air Base,,
Risstissen-Advanced Landing Ground R-65,,
Saarbrücken-Ensheim Airport,SCN,EDDR
Schleißheim Airfield,,EDNX
Schleswigland RAF Station,WBG,ETNS
Schwäbisch Hall-Advanced Landing Ground R-41,,EDTY
Siegen-Siegerland Airport,SGE,EDGS
Spangdahlem Air Base,SPM,ETAD
Strausberg Airfield,,EDAY
Stuttgart-Böblingen Airport,,
Stuttgart-Echterdingen Airport,STR,EDDS
Trier-Föhren Airport,,EDRT
Uetersen RAF Station,,
Varrelbusch Airfield,VAC,EDWU
Wangerooge Airfield,AGE,EDWG
Wenigenlupnitz Advanced Landing Ground R-1,EIB,EDGE
Westerland Airport,GWT,EDXW
Wiesbaden AFB,WIE,ETOU
Wiesbaden-Erbenheim (Y-80) Air Base,WIE,ETOU
Wilhelmshaven-Mariensiel Airport,WVN,EDWI
Wunstorf Air Base,,ETNW
Wunstorf RAF Station,,
Accra-Kotoka Airport,ACC,DGAA
Kumasi Airport,KMS,DGSI
Obuasi Airstrip,,
Takoradi Airport,TKD,DGTK
Tamale Airport,TML,DGLE
Gibraltar RAF Station,GIB,LXGB
Gibraltar-North Front Airport,GIB,LXGB
Gibraltar-North Front RAF Station,GIB,LXGB
Agrinion Airport,AGQ,LGAG
Athens Seaplane Base,,
Athens-Elefthérios Venizélos International Airport,ATH,LGAV
Athens-Ellinikon International Airport,ATH,LGAT
Athens-Hassani Airport,ATH,LGAT
Chania-Soúda Airport,CHQ,LGSA
Dekelia/Tatoi Air Base,,LGTT
Elefsis AB,,LGEL
Heraklion Airport,HER,LGIR
Heraklion-N. Kazantzakis Airport,HER,LGIR
Kalamata Airport,KLX,LGKL
Kavala-Megas Alexandros Airport,KVA,LGKV
Kerkyra-I. Kapodistrias Airport,CFU,LGKR
Kos Airport,KGS,LGKO
Lárisa Airport,LRA,LGLR
Maleme Airport,,
Mikonos Airport,JMK,LGMK
"Mirabella Bay, Crete",,
Paros Airport,PAS,LGPA
Preveza-Aktion Airport,PVK,LGPZ
Rhodes/Paradisi-Diagoras Airport,RHO,LGRP
Samos Airport,SMI,LGSM
Sitia Airport,JSH,LGST
Skiathos Airport,JSI,LGSK
Souda Bay NAS,,
Syros Island Airport,JSY,LGSO
Tanágra Air Base,,LGTG
Thessaloniki Airport,SKG,LGTS
Thessaloniki International Airport,SKG,LGTS
Thira Airport,JTR,LGSR
Volos-Néa Anchialos Airport,VOL,LGBL
Aasiaat Airport,JEG,BGAA
Bluie West One (BW-1) Air Base,UAK,BGBW
DYE 3 Airstrip,,
Godthåb/Nuuk Airport,GOH,BGGH
Ilulissat Airport,JAV,BGJN
Kangerlussuaq-Søndre Strømfjord Airport,SFJ,BGSF
Kulusuk Airport,KUS,BGKK
Mestersvig Air Base,,BGMV
Narsarsuaq Airport,UAK,BGBW
Nuuk Airport,GOH,BGGH
Thule Air Base,THU,BGTL
Guam (unknown airport),,
Guam International Airport,GUM,PGUM
Guam-A.B. Won Pat International Airport,GUM,PGUM
Guam-Agana NAS,NGM,
Guam-Andersen AFB,UAM,PGUA
Guam-North Field AFB,UAM,PGUA
Cancábal,,
Carmelita Airport,CMM,MGCR
Cuilco,,
Dos Lagunas Airport,DON,
El Estor Airport,,
El Naranjo Airport,ENJ,
Flores-Santa Elena Airport,FRS,MGFL
Guatemala City-La Aurora Airport,GUA,MGGT
Huehuetenango Airport,HUG,MGHT
La Tinta,,
Nueva Ocotepeque Airport,,MHSC
Playa Grande Airport,PKJ,
Poptun Airport,PON,MGPP
Quetzaltenango Airport,AAZ,MGQZ
Retalhuleu-Base Aerea Del Sur Airport,RER,MGRT
Rubelsanto Airport,RUV,MGRB
Tikal-El Petén Airport,TKM,
Uaxactun Airport,UAX,
Zacapa Airport,,MGZA
Conakry Airport,CKY,DGCY
Conakry Internatinal Airport,CKY,DGCY
Kissidougou Airport,KSI,GUKU
Koundara-Sambailo Airport,SBI,GUSB
Léro Airstrip,,
Ekereku Airport,EKE,
Eteringbang Airport,,SYET
Georgetown-Atkinson Air Force Base,GEO,SYCJ
Georgetown-Cheddi Jagan International Airport,GEO,SYCJ
Georgetown-Timehri International Airport,GEO,SYCJ
Imbaimadai Airport,IMB,SYIB
Karisparu Airport,,SYKU
Kato Airport,KTO,SYKT
Kopinang Airfield,,SYKO
Kwebanna Airstrip,,
Lethem Airport,LTM,SYLT
Mahdia Airport,MHA,SYMD
Matthews Ridge Airport,MWJ,SYMR
